idiom,response
all hell broke loose,check
all hell broke loose,l
all hell broke loose,check
off the hook,check
off the hook,check
off the hook,check
against the grain,check
against the grain,check
play with fire,u
play with fire,check
play with fire,check
make a killing,check
make a killing,check
make a killing,check
carry the can,check
carry the can,check
carry the can,check
in the doghouse,check
in the doghouse,check
in the doghouse,check
behind the scenes,check
behind the scenes,check
behind the scenes,check
go to the wall,check
go to the wall,check
go to the wall,check
see the light of day,u
see the light of day,check
under the weather,check
under the weather,u
under the weather,check
jump through hoops,check
jump through hoops,check
jump through hoops,check
on the horn,i
on the horn,i
to the bone,check
to the bone,check
push the envelope,check
push the envelope,u
look on the bright side,check
look on the bright side,u
up to here,check
up to here,check
up to here,check
night and day,check
night and day,check
head for the hills,check
head for the hills,check
head for the hills,l
pass the buck,check
pass the buck,check
rise from the ashes,check
rise from the ashes,check
rise from the ashes,check
meat and potatoes,check
meat and potatoes,check
meat and potatoes,check
in bed with,check
in bed with,check
in bed with,check
in the pink,u
in the pink,check
in the pink,check
go to town,check
go to town,check
go to town,check
heart of gold,check
heart of gold,check
heart of gold,check
par for the course,check
par for the course,l
par for the course,check
out of line,check
out of line,check
out of line,check
stay the course,check
stay the course,check
stay the course,u
smoke and mirrors,check
smoke and mirrors,check
get to the bottom of,check
get to the bottom of,check
get to the bottom of,check
by the book,check
by the book,l
in your face,check
in your face,check
in your face,check
in the black,check
in the black,check
in the black,check
hit the nail on the head,check
hit the nail on the head,check
in the driving seat,check
in the driving seat,l
in the driving seat,l
join the club,check
join the club,check
join the club,u
walk the plank,i
walk the plank,check
eat humble pie,l
eat humble pie,check
eat humble pie,check
up the river,check
up the river,check
up the river,u
circle the wagons,check
look the part,check
look the part,check
look the part,l
moment of truth,check
all bets are off,check
all bets are off,check
knock someone's socks off,check
on the side of the angels,check
on the side of the angels,check
on the side of the angels,check
jump on the bandwagon,check
jump on the bandwagon,check
jump on the bandwagon,check
turn the other cheek,check
raise the roof,check
raise the roof,check
raise the roof,check
do the right thing,u
do the right thing,check
do the right thing,check
on the square,check
on the square,check
on the square,check
pick up the pieces,check
pick up the pieces,check
pick up the pieces,check
touch and go,check
off and running,check
off and running,l
off and running,check
horses for courses,check
horses for courses,check
horses for courses,check
wipe the slate clean,check
wipe the slate clean,u
wipe the slate clean,check
hit the jackpot,u
hit the jackpot,check
hit the jackpot,l
round the bend,i
round the bend,check
round the bend,check
go for the jugular,check
go for the jugular,check
go for the jugular,check
nip and tuck,check
nip and tuck,check
nip and tuck,check
throw the baby out with the bathwater,check
throw the baby out with the bathwater,check
out of order,check
out of order,check
out of order,check
muddy the waters,check
muddy the waters,check
muddy the waters,check
move the goalposts,check
move the goalposts,check
move the goalposts,check
hair of the dog,l
hair of the dog,check
hair of the dog,l
have someone's number,check
neither here nor there,check
neither here nor there,check
neither here nor there,check
out of the woods,check
out of the woods,check
out of the woods,check
sit on the fence,check
sit on the fence,check
sit on the fence,check
keep the peace,check
keep the peace,check
six feet under,check
six feet under,check
six feet under,check
dead and buried,check
dead and buried,check
dead and buried,check
down in the dumps,u
down in the dumps,u
down in the dumps,l
know the score,check
know the score,check
know the score,check
oil and water,check
oil and water,check
oil and water,check
add fuel to the fire,check
add fuel to the fire,check
add fuel to the fire,check
power behind the throne,check
power behind the throne,check
power behind the throne,check
blood and guts,check
blood and guts,l
blood and guts,l
strike while the iron is hot,check
strike while the iron is hot,check
on the hop,check
on the hop,l
on the hop,check
all over the map,check
all over the map,check
all over the map,check
let the cat out of the bag,i
let the cat out of the bag,check
let the cat out of the bag,l
blaze a trail,check
blaze a trail,i
blaze a trail,check
on the bounce,check
on the bounce,check
on the bounce,check
at a canter,check
at a canter,check
at a canter,l
out to lunch,check
out to lunch,check
out to lunch,check
twist someone's arm,check
twist someone's arm,check
twist someone's arm,check
swings and roundabouts,check
swings and roundabouts,check
swings and roundabouts,check
on the ball,check
on the ball,check
rob Peter to pay Paul,check
rob Peter to pay Paul,check
rob Peter to pay Paul,check
ring a bell,check
ring a bell,check
ring a bell,check
to die for,check
to die for,check
to die for,check
everything but the kitchen sink,check
spend a penny,check
spend a penny,check
spend a penny,check
in black and white,check
in black and white,check
in black and white,check
doom and gloom,check
doom and gloom,check
doom and gloom,check
keep tabs on,check
keep tabs on,check
keep tabs on,check
get the picture,check
get the picture,check
get the picture,check
look the other way,check
look the other way,check
look the other way,check
burst someone's bubble,check
burst someone's bubble,check
burst someone's bubble,check
fall in line,check
fall in line,l
fall in line,l
water under the bridge,check
water under the bridge,l
water under the bridge,check
keep a lid on,check
keep a lid on,check
keep a lid on,check
down the drain,check
down the drain,check
down the drain,check
make the cut,check
make the cut,check
make the cut,check
free and easy,i
free and easy,check
free and easy,check
with a vengeance,check
cut both ways,check
cut both ways,check
cut both ways,check
sing the praises of,l
sing the praises of,check
sing the praises of,check
hold the line,check
pull the plug,check
pull the plug,check
pull the plug,check
make a move,check
make a move,check
make a move,check
make a meal of,check
make a meal of,check
make a meal of,check
the icing on the cake,check
the icing on the cake,check
the icing on the cake,check
in the red,check
in the red,check
in the red,check
feel the pinch,u
feel the pinch,l
feel the pinch,check
under the microscope,check
under the microscope,check
under the microscope,check
pay the piper,check
pay the piper,check
pay the piper,check
on the trot,check
on the trot,check
on the trot,check
peaches and cream,check
peaches and cream,check
toe the line,check
toe the line,i
grasp the nettle,u
grasp the nettle,check
grasp the nettle,l
high and mighty,i
high and mighty,check
high and mighty,check
in the hole,check
in the hole,check
in the hole,check
take the fall,check
take the fall,check
take the fall,check
in the offing,check
in the offing,check
in the offing,l
ride roughshod over,l
ride roughshod over,check
ride roughshod over,l
crash and burn,check
crash and burn,check
crash and burn,check
dyed in the wool,u
dyed in the wool,check
dyed in the wool,check
fight fire with fire,check
fight fire with fire,l
fight fire with fire,check
all over the place,check
all over the place,check
all over the place,check
grind to a halt,check
grind to a halt,l
grind to a halt,l
in a nutshell,check
in a nutshell,check
rise and shine,check
take a back seat,u
take a bath,check
take a bath,check
take a bath,check
bury the hatchet,check
bury the hatchet,check
in the soup,check
in the soup,check
in the soup,check
grease the wheels,u
grease the wheels,check
grease the wheels,check
apples and oranges,check
apples and oranges,check
follow in someone's footsteps,check
follow in someone's footsteps,check
